0000782140661;1;30
0000072227885;1;92
0000471200247;1;133
0000072227710;1;44
0001558605525;1;95
0000972263608;1;88
0000201615762;1;115
0000782140114;1;74
0000321125169;1;55
0000805317554;1;71
0001861004486;1;157
0000735712123;1;3
0000425188361;1;78
0000142001740;1;36
0000596004478;1;104
0000071414339;1;6
0000312311354;1;123
0000312287941;1;9
0000312243022;1;77
0000609610570;1;6
0000316602051;1;61
0000743222008;1;3
0000066214750;1;89
0000787960756;1;63
0000743206061;1;77
0001590520734;1;4
0000060934417;1;48
0000440237556;1;210
0000373272839;1;72
0000670031518;1;41
0000738206679;1;28
000067976867X;1;64
0000679450785;1;86
0001579550088;1;47
0000684843285;1;67
0000471358983;1;89
0000394739698;1;36
0001586851322;1;33
0001586851357;1;76
000156158648X;1;32
0000865659982;1;2
0000517576600;1;86
0000262024829;1;81
0000072294337;1;8
0000072315318;1;21
0000324107501;1;51
0000471363049;1;52
0000130323519;1;28
0000446527793;1;36
0000743244249;1;107
0000743467523;1;37
0000375703764;1;68
0000345452089;1;53
0000385504470;1;91
0000312276702;1;27
0000743457358;1;77
0001880418568;1;68
0000743455967;1;32
0000140077022;1;75
0000679722955;1;94
0000684848155;1;133
0000471286168;1;50
0000471288217;1;16
0000156006219;1;8
0000060540753;1;127
0000393318486;1;16
0000060958332;1;37
0000060958405;1;116
0000393319407;1;31
000067463442X;1;25
0000446608955;1;14
0000446676098;1;40
0000446606812;1;28
0000262521415;1;69
0000262232197;1;20
0000324113641;1;159
0000471391123;1;67
0000130998516;1;83
0001565924916;1;130
0000735712360;1;131
0000735712379;1;88
0000735713170;1;45
0001558606432;1;143
0000072222743;1;146
0000345409469;1;17
0000375508325;1;6
0000345336895;1;118
0000671004107;1;4
0000345376595;1;16
0000316666343;1;58
0000316096199;1;7
000038572179X;1;69
0000385494246;1;92
0000385494327;1;54
0000385494149;1;98
0000399149848;1;133
0000373218192;1;131
0000373218257;1;0
0000399149392;1;41
0001561584029;1;53
0001579902944;1;17
0001561586196;1;117
0000061092177;1;44
0000060502935;1;21
0000061020656;1;68
0000060855925;1;133
0000061020648;1;63
0000061161721;1;91
0000782140661;2;92
0000072227885;2;101
0000471200247;2;84
0000072227710;2;12
0001558605525;2;84
0000972263608;2;22
0000201615762;2;35
0000782140114;2;94
0000321125169;2;4
0000805317554;2;8
0001861004486;2;81
0000735712123;2;52
0000425188361;2;53
0000142001740;2;70
0000596004478;2;63
0000071414339;2;50
0000312311354;2;76
0000312287941;2;5
0000312243022;2;14
0000609610570;2;75
0000316602051;2;112
0000743222008;2;54
0000066214750;2;67
0000787960756;2;21
0000743206061;2;52
0001590520734;2;16
0000060934417;2;90
0000440237556;2;2
0000373272839;2;85
0000670031518;2;29
0000738206679;2;20
000067976867X;2;120
0000679450785;2;69
0001579550088;2;113
0000684843285;2;44
0000471358983;2;72
0000394739698;2;108
0001586851322;2;65
0001586851357;2;58
000156158648X;2;82
0000865659982;2;146
0000517576600;2;66
0000262024829;2;13
0000072294337;2;59
0000072315318;2;45
0000324107501;2;125
0000471363049;2;100
0000130323519;2;50
0000446527793;2;96
0000743244249;2;81
0000743467523;2;29
0000375703764;2;55
0000345452089;2;68
0000385504470;2;106
0000312276702;2;24
0000743457358;2;27
0001880418568;2;148
0000743455967;2;101
0000140077022;2;77
0000679722955;2;163
0000684848155;2;95
0000471286168;2;30
0000471288217;2;75
0000156006219;2;78
0000060540753;2;13
0000393318486;2;43
0000060958332;2;61
0000060958405;2;71
0000393319407;2;41
000067463442X;2;91
0000446608955;2;48
0000446676098;2;60
0000446606812;2;132
0000262521415;2;0
0000262232197;2;48
0000324113641;2;117
0000471391123;2;62
0000130998516;2;131
0001565924916;2;64
0000735712360;2;58
0000735712379;2;56
0000735713170;2;108
0001558606432;2;114
0000072222743;2;105
0000345409469;2;193
0000375508325;2;77
0000345336895;2;59
0000671004107;2;74
0000345376595;2;1
0000316666343;2;56
0000316096199;2;24
000038572179X;2;106
0000385494246;2;79
0000385494327;2;9
0000385494149;2;61
0000399149848;2;127
0000373218192;2;32
0000373218257;2;40
0000399149392;2;157
0001561584029;2;83
0001579902944;2;19
0001561586196;2;71
0000061092177;2;77
0000060502935;2;138
0000061020656;2;152
0000060855925;2;147
0000061020648;2;66
0000061161721;2;103
