1;67976867X;1;3
1;312287941;1;2
1;316096199;1;2
1;471286168;1;3
1;446608955;1;2
2;373218257;2;3
2;38572179X;2;1
2;743457358;2;1
2;312287941;2;2
2;72227885;2;1
2;471363049;2;3
2;60855925;2;3
2;201615762;2;3
2;735712360;2;3
2;805317554;2;3
1;471288217;3;3
1;394739698;3;3
1;345336895;3;3
1;324113641;4;3
1;735712379;5;1
1;1586851357;5;2
1;373272839;5;1
1;1579550088;5;3
1;201615762;5;2
1;399149392;5;1
1;1586851322;5;1
1;316096199;5;3
1;787960756;5;1
2;679450785;6;2
2;446606812;6;2
2;1586851357;6;1
2;972263608;6;1
2;385504470;6;3
1;201615762;7;3
1;743457358;7;1
1;471288217;7;2
1;865659982;7;1
1;66214750;7;2
1;1586851357;7;3
1;324113641;7;1
1;385494327;7;1
2;61161721;8;2
2;324113641;8;1
2;60855925;8;1
2;670031518;8;2
1;38572179X;9;3
1;72227885;9;1
1;743244249;9;2
1;312276702;9;1
1;345409469;9;2
2;1561586196;10;3
2;787960756;10;1
2;142001740;10;2
2;1561584029;10;2
2;60540753;10;2
2;321125169;11;3
2;1579902944;11;2
2;156158648X;11;3
2;345409469;11;3
2;72222743;11;2
2;393318486;11;1
2;72315318;11;1
2;609610570;12;1
2;60958405;12;2
2;735713170;12;2
2;471391123;12;1
2;345452089;12;1
2;471363049;12;2
2;72222743;12;2
2;679450785;12;2
2;440237556;12;3
2;471358983;12;2
2;60934417;13;1
2;60502935;13;3
2;399149392;13;1
2;373218192;13;1
2;743457358;13;2
2;345376595;13;2
2;262024829;13;3
2;262521415;13;3
2;446606812;13;3
1;130998516;14;1
1;787960756;14;3
1;394739698;14;1
1;446606812;14;3
1;316602051;14;2
1;440237556;14;2
1;743244249;14;2
1;735712360;15;2
2;385494246;16;3
2;72222743;16;1
2;67976867X;16;1
2;312276702;16;2
2;735712379;16;3
2;156006219;16;3
2;324107501;16;1
1;316096199;17;1
1;373272839;17;3
1;61161721;17;1
1;738206679;17;3
1;743244249;17;2
1;67463442X;17;3
1;394739698;17;2
